placement	placement_desc	version	version_label	size_bytes	reps	median_us	min_us	max_us	spread_pct	bandwidth_GBs
1node	intra-node	recon_rdma	Reconverse RDMA	8192	5	9.423614	9.059668	10.393977	14.73	0.8693
1node	intra-node	recon_rdma	Reconverse RDMA	16384	5	9.737372	9.370089	10.953426	16.90	1.6826
1node	intra-node	recon_rdma	Reconverse RDMA	32768	5	10.456562	9.897590	12.183905	23.10	3.1337
1node	intra-node	recon_rdma	Reconverse RDMA	65536	5	11.957526	11.613727	14.876604	28.10	5.4807
1node	intra-node	recon_rdma	Reconverse RDMA	131072	5	14.795780	14.440417	20.328999	40.78	8.8587
1node	intra-node	recon_rdma	Reconverse RDMA	262144	5	20.438075	20.007253	31.880260	59.34	12.8263
1node	intra-node	recon_rdma	Reconverse RDMA	524288	5	31.758070	31.318665	55.631995	77.63	16.5088
1node	intra-node	recon_rdma	Reconverse RDMA	1048576	5	54.169059	53.747296	103.173852	91.96	19.3575
1node	intra-node	recon_rdma	Reconverse RDMA	2097152	5	99.179864	98.728538	197.725892	100.27	21.1449
1node	intra-node	recon_rdma	Reconverse RDMA	4194304	5	189.296961	188.752294	386.266232	104.64	22.1573
1node	intra-node	recon_rdma	Reconverse RDMA	8388608	5	369.698286	368.659616	762.026906	106.70	22.6904
1node	intra-node	recon_rdma	Reconverse RDMA	16777216	5	728.706479	726.665258	733.224154	0.90	23.0233
1node	intra-node	recon_rdma	Reconverse RDMA	33554432	5	1449.561954	1446.971774	1458.860874	0.82	23.1480
1node	intra-node	recon_rdma	Reconverse RDMA	67108864	5	2886.104703	2885.152459	2931.547761	1.61	23.2524
1node	intra-node	recon_persist	Reconverse persist+RDMA	16	5	7.103562	7.038236	7.167697	1.84	0.0023
1node	intra-node	recon_persist	Reconverse persist+RDMA	32	5	6.875038	6.799459	7.037640	3.50	0.0047
1node	intra-node	recon_persist	Reconverse persist+RDMA	64	5	9.249091	9.114742	9.279251	1.80	0.0069
1node	intra-node	recon_persist	Reconverse persist+RDMA	128	5	9.377718	9.250641	9.518147	2.89	0.0136
1node	intra-node	recon_persist	Reconverse persist+RDMA	256	5	10.096908	10.031819	10.452390	4.19	0.0254
1node	intra-node	recon_persist	Reconverse persist+RDMA	512	5	10.103106	9.994984	11.037111	10.43	0.0507
1node	intra-node	recon_persist	Reconverse persist+RDMA	1024	5	10.249376	10.170579	11.128187	9.42	0.0999
1node	intra-node	recon_persist	Reconverse persist+RDMA	2048	5	10.404944	10.357022	11.362076	9.70	0.1968
1node	intra-node	recon_persist	Reconverse persist+RDMA	4096	5	10.478616	10.360241	11.445403	10.47	0.3909
1node	intra-node	recon_persist	Reconverse persist+RDMA	8192	5	10.795712	10.654092	11.736274	10.16	0.7588
1node	intra-node	recon_persist	Reconverse persist+RDMA	16384	5	11.141062	11.073589	12.138605	9.62	1.4706
1node	intra-node	recon_persist	Reconverse persist+RDMA	32768	5	11.751056	11.701107	12.878656	10.06	2.7885
1node	intra-node	recon_persist	Reconverse persist+RDMA	65536	5	13.120532	12.958169	15.313387	18.18	4.9949
1node	intra-node	recon_persist	Reconverse persist+RDMA	131072	5	15.693426	15.456557	19.421458	25.65	8.3520
1node	intra-node	recon_persist	Reconverse persist+RDMA	262144	5	21.576166	21.346927	27.032256	26.63	12.1497
1node	intra-node	recon_persist	Reconverse persist+RDMA	524288	5	32.835126	32.746673	42.651415	30.25	15.9673
1node	intra-node	recon_persist	Reconverse persist+RDMA	1048576	5	55.316448	55.205345	58.139205	5.31	18.9560
1node	intra-node	recon_persist	Reconverse persist+RDMA	2097152	5	100.352645	100.284100	103.185296	2.89	20.8978
1node	intra-node	recon_persist	Reconverse persist+RDMA	4194304	5	191.082716	190.975428	197.979331	3.67	21.9502
1node	intra-node	recon_persist	Reconverse persist+RDMA	8388608	5	372.901797	372.824788	410.982490	10.23	22.4955
1node	intra-node	recon_persist	Reconverse persist+RDMA	16777216	5	777.425408	775.855422	857.200265	10.48	21.5805
1node	intra-node	recon_persist	Reconverse persist+RDMA	33554432	5	1631.585836	1631.391525	1731.838346	6.16	20.5655
1node	intra-node	recon_persist	Reconverse persist+RDMA	67108864	5	3296.747923	3292.905807	3456.020117	4.95	20.3561
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	16	5	3.413320	3.399372	3.774166	11.03	0.0047
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	32	5	3.273487	3.113508	3.589630	15.29	0.0098
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	64	5	3.241897	3.144741	3.524899	12.09	0.0197
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	128	5	3.908753	3.750205	4.213333	12.35	0.0327
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	256	5	4.029632	3.958464	4.420042	11.66	0.0635
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	512	5	4.049897	4.032016	4.436016	10.02	0.1264
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	1024	5	4.170179	4.153371	4.598379	10.71	0.2456
1node	intra-node	recon_normal_nd8	Reconverse msg (8 dev)	2048	5	4.431486	4.423261	4.917383	11.17	0.4621
